Id,Date,To,From,Amount,Reason,Fbo,Location,Aircraft,Comment,AircraftId,
191725966,2023/04/30 22:00:59,Bank,Aer Bridge Ltd.,6455.00,Ownership Fee,N/A,EINN,EI-CJB,,54129,
191725963,2023/04/30 22:00:59,Bank,Aer Bridge Ltd.,5308.00,Ownership Fee,N/A,EGPH,EI-ASH,,45579,
191715821,2023/04/30 22:00:31,Aer Bridge Ltd.,Outback Air Charter International,6000.00,Facility rent,EGBP Aer Bridge Ltd. - Cotswold Airport/Kemble Airfield,EGBP,,,0,
191714632,2023/04/30 22:00:26,dthughes,Aer Bridge Ltd.,1.00,Facility rent,EGCW Welshpool Rwy 04/22 Elev 233 ft,EGCW,,,0,
191714630,2023/04/30 22:00:26,dthughes,Aer Bridge Ltd.,4.00,Facility rent,EGCK The Barnstormers' Hangar - Caernarfon,EGCK,,,0,
191658138,2023/04/30 13:41:44,broulma,Aer Bridge Ltd.,1130.24,Aircraft Bonus,N/A,CYOW,EI-ATR,,41293,
191658137,2023/04/30 13:41:44,Aer Bridge Ltd.,broulma,2956.55,Rental of aircraft,N/A,CYOW,EI-ATR,,41293,
191648433,2023/04/30 08:36:10,NorCan Holdings,Aer Bridge Ltd.,2224.10,Refuelling with JetA,CSH4 NorCan Flight Support - Lebel-Sur-Quevillon QC,CSH4,EI-ATR,"User ID: 64032 Amount (gals): 564.5, $ per Gal: $3.94",41293,
191648053,2023/04/30 08:27:36,broulma,Aer Bridge Ltd.,219.28,Aircraft Bonus,N/A,CSH4,EI-ATR,,41293,
191648052,2023/04/30 08:27:36,Aer Bridge Ltd.,broulma,1277.74,Rental of aircraft,N/A,CSH4,EI-ATR,,41293,
191645272,2023/04/30 06:52:13,Aer Bridge Ltd.,island_hoppin,612.80,FBO ground crew fee,EICK Aer Bridge Ltd. - Cork Airport,EICK,HL-6328,,39072,
191635827,2023/04/30 00:11:16,Aer Bridge Ltd.,broulma,224.33,Aircraft Bonus,N/A,CYMT,EI-ATR,,41293,
191635826,2023/04/30 00:11:16,Aer Bridge Ltd.,broulma,1354.98,Rental of aircraft,N/A,CYMT,EI-ATR,,41293,
191633119,2023/04/29 23:19:07,Aer Bridge Ltd.,broulma,283.24,Aircraft Bonus,N/A,CYTF,EI-ATR,,41293,
191633118,2023/04/29 23:19:07,Aer Bridge Ltd.,broulma,1068.33,Rental of aircraft,N/A,CYTF,EI-ATR,,41293,
191631141,2023/04/29 22:49:15,NorCan Holdings,Aer Bridge Ltd.,1581.95,Refuelling with JetA,CSE5 NorCan Flight Support - Montmagny QC,CSE5,EI-ATR,"User ID: 64032 Amount (gals): 401.5, $ per Gal: $3.94",41293,
191630859,2023/04/29 22:42:03,Aer Bridge Ltd.,broulma,316.54,Aircraft Bonus,N/A,CSE5,EI-ATR,,41293,
191630858,2023/04/29 22:42:03,Aer Bridge Ltd.,broulma,1008.54,Rental of aircraft,N/A,CSE5,EI-ATR,,41293,
191629494,2023/04/29 22:13:29,Aer Bridge Ltd.,broulma,151.92,Aircraft Bonus,N/A,CSL3,EI-ATR,,41293,
191629493,2023/04/29 22:13:29,Aer Bridge Ltd.,broulma,1404.66,Rental of aircraft,N/A,CSL3,EI-ATR,,41293,
191626282,2023/04/29 20:55:45,Aer Bridge Ltd.,broulma,86.36,Aircraft Bonus,N/A,CSD4,EI-ATR,,41293,
191626281,2023/04/29 20:55:45,Aer Bridge Ltd.,broulma,349.35,Rental of aircraft,N/A,CSD4,EI-ATR,,41293,
191625598,2023/04/29 20:45:34,Aer Bridge Ltd.,broulma,287.14,Aircraft Bonus,N/A,CYMW,EI-ATR,,41293,
191625597,2023/04/29 20:45:34,Aer Bridge Ltd.,broulma,689.04,Rental of aircraft,N/A,CYMW,EI-ATR,,41293,
191616831,2023/04/29 17:10:58,broulma,Aer Bridge Ltd.,192.30,Aircraft Bonus,N/A,CYOW,EI-ATR,,41293,
191616830,2023/04/29 17:10:58,Aer Bridge Ltd.,broulma,1388.00,Rental of aircraft,N/A,CYOW,EI-ATR,,41293,
191614971,2023/04/29 16:21:57,Aer Bridge Ltd.,broulma,70.38,Aircraft Bonus,N/A,CNF8,EI-ATR,,41293,
191614970,2023/04/29 16:21:57,Aer Bridge Ltd.,broulma,633.19,Rental of aircraft,N/A,CNF8,EI-ATR,,41293,
191614807,2023/04/29 16:18:13,esoxhntr,Aer Bridge Ltd.,47.20,FBO ground crew fee,"KEWR Hundredth Meridian - Newark Liberty, NJ",KEWR,C-GGXN,,23077,
